Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,397,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Save"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,396,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Save
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,387,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Refresh"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,386,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Refresh
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,377,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Redo"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,376,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Redo
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,367,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Print"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,366,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Print
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,348,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Paste"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,347,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Paste
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,338,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""MoveUp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,337,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap MoveUp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,328,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""MoveDown"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,327,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap MoveDown
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,300,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""LoadArchive"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,299,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap LoadArchive
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,263,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""InsertBelow"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,262,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap InsertBelow
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,253,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""InsertAbove"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,252,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap InsertAbove
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,234,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Import"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,233,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Import
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,224,12,T:System.Drawing.Icon,,,,,"get {                  object obj = ResourceManager.GetObject(""HostsFileEditorDisabled"", resourceCulture);                  return ((System.Drawing.Icon)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HostsFileEditor.WinForm\HostsFileEditor.WinForm.csproj,File,HostsFileEditor.WinForm\Properties\Resources.Designer.cs,223,8,T:System.Drawing.Icon,,,,,internal static System.Drawing.Icon HostsFileEditorDisabled
